0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022_11_17_081804_750_8906.scd,1140.01,629.13,687.6,462080.56,804.51,892.62,577761.14,2715.73,559.95,874.86,377957.4,2228.55,565.93,706.25,814.22,888.38,945.17,0.82,0.91,531145.82,597562.04,2644.32,2781.02,2
2022_11_17_082156_750_8906.scd,1110.01,658.7,654.33,437740.76,773.38,882.91,544346.08,2628.97,540.88,905.57,411571.48,2359.52,551.34,687.49,780.32,877.94,929.45,0.8,0.89,503088.74,561707.28,2562.82,2715.14,2
2022_11_17_171713_810_3748.scd,930.01,652.12,658.54,445995.97,858.38,887.64,606558.77,2776.5,700.42,925.23,513854.04,2696.01,686.46,729.95,871.64,915.77,1201.35,0.83,1,541935.01,623699.03,2725.2,3412.84,2
2022_11_17_174928_764.2_3455.scd,920.01,545.65,618.72,482120.46,802.89,931.89,594895.74,2759.52,721.63,924.13,529484.43,2649.25,703.92,705.78,804.95,930.96,1018.64,0.78,0.88,547226.93,610653.31,2710.6,2988.83,2
2022_11_17_080009_852_7457.scd,1060.01,648.99,697.78,476793.28,874.35,895.05,613215.27,2814.71,684.84,902.61,486377.59,2569.96,704.53,739.58,885.7,871.04,911.39,0.89,0.98,544689.32,635336.47,2667.22,2862.87,3
2022_08_11_103758_770_7457.pcd,980.01,574.95,641.7,432750.32,792.52,870.56,553903.22,2656.59,657.18,869.61,447122.4,2472.79,683.72,692.6,807.32,832.34,885.79,0.87,0.95,497551.16,568522.09,2536.51,2688.95,2
2022_11_17_082151_750_8906.scd,1120.01,647.55,692.25,486563.83,798.87,894.25,567052.1,2688.8,620.99,908.96,458037.2,2416.69,625.61,716.56,801.87,875.22,910.33,0.83,0.91,528189.12,585696.45,2626.83,2727.12,2
2022_11_17_081120_790_1523.scd,840.01,639.72,643.89,422263.35,850.15,878.98,590197.3,2690.72,682.03,897.83,491385.07,2554.66,680.59,710.41,875.57,852.24,917.06,0.89,0.99,534111.98,621756.64,2502.39,2820.96,3
2022_11_17_171629_810_3748.scd,850.01,660.58,662.23,450682.02,848.76,886.19,606079.76,2772.11,715.59,898.73,501629.37,2574.71,706.3,727.92,858.99,855.26,905.98,0.92,0.99,555884.68,623331.74,2669.97,2810.89,3
2022_11_17_173658_722_1534.scd,920.01,638.78,680.57,517797.39,780.91,928.54,580802.73,2729.44,692.44,923.03,507126.68,2616.42,700.11,697.29,801.28,900.9,947.59,0.8,0.86,536168.18,604751.14,2638.3,2775.74,2
2022_11_17_170805_748_3891.scd,870.01,642.24,647.15,453897.31,813.79,932.66,594274.09,2760.92,615.53,915.33,439355.3,2470.01,657.35,679.54,833.01,926.36,1078.66,0.76,0.89,528835.89,619693.49,2659.9,2849.24,2
